ID,Speech ID,User,Speech Category,Speach Content,Keywords
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Michael,"Experience,Sharing,Stories","Leaders of Inspiration: I have been fortunate to work with great leaders, and if we pay attention to how they make things happen, how they communicate, and how they touch the people around them, we can learn immensely, this means practical learning difficult to obtain from books. Let me highlight 3 of them. José Oliveira is like a chess player, any move was planned, and is 5 steps ahead of other players, with the enormous ability to make things happen and decide. Not afraid to take risks and do experimental projects. Artur Baptista is very objective and oriented to identify and solve problems, keeping the focus on priorities, involving people, and accompanying them when problems happen to work in solution as a member of the team. João Cruz, a very human, diplomat, is a person with great vision, is very intelligent, and with a lot of culture and knowledge of different subjects. Great ability to correlate information and generate many innovative and differentiating ideas for the company's business. I was lucky enough to work and follow these 3 people and learn a lot about the best of each one so as to create my own style and not try to copy their style.","Leaders of Inspiration, great leaders, practical learning, José Oliveira, chess player, planning, risk-taking, experimental projects, Artur Baptista, objective, problem-solving, focus, priorities, team involvement, João Cruz, human, diplomat, vision, intelligence, culture, knowledge, innovative ideas, business differentiation, personal style."
,,,"Experience,Sharing,Stories","Inspirational teams: not only leaders are the inspiration models, but I also had the chance to lead people with completely different styles and unique characteristics that combined with other people brought exceptional results to the team. Learning with each one and being able to share the best of each other allowed us to create a true team, solid, collaborative and united in a common goal, team success, and not just individual. Again, it is always difficult to highlight some people and their characteristics, but let me share the ones that have marked me the most. Rui Eusebio, excellent to find the problem and even better to find solutions. Improvement and learning is the way. Maximum confidence and humility, a natural leader! Rui Coimbra, make things happen, if you need someone to ""run a marathon"", he does not care if he is in the right preparation, he will not leave you alone and will ""run"" with you! Pedro Tavares is resilient, cares about people, and brings life and good humor to our days. Sara Pinto: Straight to the point. Objectivity with class and education. Susana Banha: Know how to involve others and make them our allies. Ricardo Santos, thinks differently, creatively and out of the box, let him ""fly"" because we need this kind of person in the team. Rui Maia: Diplomat, addicted to knowledge, future leader. Create one of the best programming sites when he was 15 years old. Henrique Dantas: vision, ambition, risk, and confidence. He left the company 6 months after joining us to create a startup in London. Sofia Teixeira: Customer-oriented, doing a job wrong is not an option. Her background as a journalist reminds me why journalists are today one of the hiring trends for technology teams, customer focus is essential to the success of any business. Of course, there are many others with great capabilities.","Inspirational teams, lead people, different styles, unique characteristics, exceptional results, team success, Rui Eusebio, problem-solving, improvement, learning, confidence, humility, natural leader, Rui Coimbra, resilience, Pedro Tavares, good humor, Sara Pinto, objectivity, Susana Banha, involvement, allies, Ricardo Santos, creative thinking, Rui Maia, diplomat, knowledge, programming, Henrique Dantas, vision, ambition, risk, startup, Sofia Teixeira, customer-oriented, journalist background, hiring trends, technology teams, business success."
,,,"Experience,Sharing,Stories","Experimental projects/technologies: I have had the opportunity to work closely with universities, received many students for internships, and also worked with startups as a mentor. It was amazing how many things we can learn by doing experimental projects and how important this can be to your team. First, you can involve your team and collect your ideas, turning ideas into experimental projects. The internships are the possibility to make your idea real, they can sense the evolution, contribute to continuous improvement and learn new knowledge! For the trainee student, it is a great experience because they will have the chance to be 100% responsible for an experimental project whose risk of failure does not impact their careers but success can be an accelerator for the opportunities that follow. They have full autonomy to choose technologies and perform as they believe is the best way. Once again, I was fortunate to receive great students who have done amazing projects and today I am working with most of them. I realize that engaging my team in different projects in themes that do not dominate, brings great results in terms of motivation and learning, people will have to think outside the box. Everyone wins.","Experimental projects, technologies, universities, internships, startups, mentor, team involvement, idea generation, continuous improvement, new knowledge, trainee student, responsibility, risk, success, career opportunities, autonomy, technology choice, motivation, thinking outside the box."
,,,"Experience,Sharing,Stories","Risk of becoming obsolete. I think it was far from obsolete, but I do not know when ... Of course, we do not need to change jobs to avoid being obsolete, but I realize that if we challenge ourselves to something different, we can have a refreshing impact. Maintain the need for continuous learning.","Risk, becoming obsolete, job change, challenge, refreshing impact, continuous learning."
,,,"Stategy,Events,Activities,Programs","Our durable business model is designed to stand the test of time and differentiate us in the marketplace. Over the years, we’ve built a foundation that serves our guests, team members, vendors, communities and shareholders well — and delivers strong results — no matter how the environment around us evolves. It’s the framework that guides us as we live out Target’s purpose — to help all families discover the joy of everyday life. And at the heart of it all? Our team’s culture of caring, growing and winning together.","durable business model, differentiate, marketplace, foundation, guests, team members, vendors, communities, shareholders, strong results, environment, Target’s purpose, joy of everyday life, team culture, caring, growing, winning together."
,,,"News,Announcement","Product AAA (the world’s leading source of in-depth news and analysis on risk management, derivatives and regulation) awarded SSS, a digital product by the member firms, the Governance, Risk and Compliance Product of the Year.

Product AAA is a cloud-based platform that enables the comprehensive management, monitoring, and governance of an organization’s entire portfolio of models. The product was built by our firm, combining products and business teams.","Product AAA, in-depth news, risk management, derivatives, regulation, SSS, digital product, member firms, Governance, Risk and Compliance Product of the Year, cloud-based platform, management, monitoring, governance, organization’s portfolio, models, firm, products, business teams."
,,,"News,Announcement","I’m excited to share that we are planning our first Co-Location Day to meet our colleagues in person! 
Technological advances have led to a strong increase in the number of data collection efforts aimed at measuring co-presence of individuals at different spatial resolutions. It is however unclear how much co-presence data can inform us on actual face-to-face contacts, of particular interest to study the structure of a population in social groups or for use in data-driven models of information or epidemic spreading processes. Here, we address this issue by leveraging data sets containing high resolution face-to-face contacts as well as a coarser spatial localisation of individuals, both temporally resolved, in various contexts. The co-presence and the face-to-face contact temporal networks share a number of structural and statistical features, but the former is (by definition) much denser than the latter. We thus consider several down-sampling methods that generate surrogate contact networks from the co-presence signal and compare them with the real face-to-face data. We show that these surrogate networks reproduce some features of the real data but are only partially able to identify the most central nodes of the face-to-face network. We then address the issue of using such down-sampled co-presence data in data-driven simulations of epidemic processes, and in identifying efficient containment strategies. We show that the performance of the various sampling methods strongly varies depending on context. We discuss the consequences of our results with respect to data collection strategies and methodologies.","Co-Location Day, colleagues, technological advances, data collection, co-presence, individuals, spatial resolutions, face-to-face contacts, social groups, data-driven models, information spreading, epidemic spreading processes, high resolution, temporal networks, structural features, statistical features, down-sampling methods, surrogate contact networks, central nodes, epidemic simulations, containment strategies, sampling methods, context, data collection strategies, methodologies."
,,,"Stategy,Events,Activities,Programs","We hope this message finds you well. 
Did you know that the adoption of machine learning results in 2x more data-driven decisions, 5x faster decision-making, and 3x faster execution?1

Learn how to implement the latest machine learning and artificial intelligence technology by exploring training on Vertex AI, BigQuery, TensorFlow, Cloud Vision, Natural Language API, and more. These courses can help you prepare for job roles like Data Scientist, Machine Learning Engineer, or Contact Center engineer.","machine learning, data-driven decisions, faster decision-making, faster execution, artificial intelligence technology, training, Vertex AI, BigQuery, TensorFlow, Cloud Vision, Natural Language API, courses, job roles, Data Scientist, Machine Learning Engineer, Contact Center engineer."
,,,,,
,,,,,
,,,,,
,,,,,
,,Virtual Assistant,Process,"Our prodcut SDLC include: Build, Relase, Market and Operate.",
,,,Process,"The product go live process will need to get the approval & sign off from NIS team, the OGC approval and Brand review as well. Then it will go through the release management process. ",
